id,feature_area,user_story,expected_behavior,source_of_truth,test_method,status,last_result,errors_found,fix_status,evidence,notes
CWB-001,App shell,"As a user, I can open the Codex Merit Studio dashboard.","Header, source panel, preview stage, output panel and run log render without horizontal overflow.",src/App.tsx,browser:layout,passed,dashboard rendered without overflow,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-002,Preview fixture,"As a browser-preview user, I see a realistic initial merit card before native scan.",Sample aggregate and sample outcomes render a complete card and metrics immediately.,src/core/sample.ts,unit:badge + browser:layout,passed,sample preview covered by badge/unit evidence,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-003,Codex root input,"As a user, I can edit the selected Codex root before scanning.",Root input preserves the user-entered path and passes it to native scan.,src/App.tsx,browser:scan,passed,root input retained edited value,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-004,Scan all-time,"As a user, I can click Scan all-time and see a loading scan before results.","Scan button disables during scan, progress reaches 100%, and browser preview reports fixture scan complete.",src/App.tsx,browser:scan,passed,scan all-time reached success and 100%,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-005,Native Codex scan,"As a Mac app user, I can scan a selected Codex root.",Tauri reads only selected root sqlite/state_5.sqlite and rollout JSONL files.,src-tauri/src/main.rs,static:native + rust:compile,passed,native scan source compiles under Cargo,,none,nativeCheck:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-006,Rollout parser,"As a user, I get message/tool/hour counts without transcript storage.","JSONL parser counts user messages, assistant messages, tool calls and capped task durations only.",src/core/aggregation.ts,unit:aggregation,passed,rollout parser unit gate passed,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-007,Filesystem safety,"As a privacy-sensitive user, out-of-root rollouts are not read.",Canonical path allowlist skips symlink/out-of-root rollouts and reports missing files separately.,src/core/nodeSources.ts,unit:aggregation + static:native,passed,filesystem allowlist covered by unit/source evidence,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-008,Metrics panel,"As a user, I can read sessions, exchanges, tool runs, hours and ratios.",Dashboard side panels show aggregate counts and derived tool/exchange ratios.,src/App.tsx,browser:layout,passed,metrics panels covered by rendered layout proof,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-009,Performance profile,"As a user, I get a cool name based on my Codex usage profile.","Manifest chooses profile name, subtitle and tier from hours, sessions, tool intensity and verified outcomes.",src/core/badge.ts,unit:badge,passed,profile and tier logic covered,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-010,Public-safe manifest,"As a user, my public card never leaks local/private data.","BadgeManifest excludes prompts, responses, local paths, thread IDs, emails, secrets and store identities.",src/core/privacy.ts,unit:privacy + doctor,passed,public manifest privacy covered by doctor/unit gates,,none,doctor:ok;unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-011,Profile URL input,"As a user, I can enter a profile URL or @handle for the QR code.","Input normalizes @handles/domains/http URLs, rejects unsafe values and updates the rendered QR metadata.",src/App.tsx,browser:qr,passed,custom profile URL rendered into QR metadata,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-012,Scannable QR,"As a viewer, I can scan the profile QR from the exported card.","QR is URL-backed, enlarged, has a four-module quiet zone and is embedded in the security label.",src/core/qr.ts,unit:qr + visual,passed,QR size and quiet zone covered,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-013,Merit token visual,"As a sharer, I get a premium 1:1 merit-token image.","SVG is deterministic, square, has holographic edge, security glyph and no old rank badge.",src/core/badge.ts,unit:badge + visual,passed,holographic square token visual verified,,none,visual-qa-summary.json; browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
